Price,Square Area,Bedrooms,Bathrooms,Security,Airconditioning,Parking,Balcony,Rating,ReviewsCount,Swimming pool,Multi-Purpose Hall,Function Rooms,Gym,Study Hall,Furnishing_Fully Furnished,Furnishing_Semi Furnished,Furnishing_Unfurnished
15000,21,0,1,1,1,0,0,4.3,66.5,1,1,0,1,1,0,0,1
15000,26,0,1,1,1,0,0,4.2,85,1,1,1,0,1,0,0,1
15000,21,1,1,1,1,0,0,4.3,66.5,0,0,1,0,0,0,0,1
15000,21,1,1,1,1,0,1,4.2,85,0,1,1,0,0,0,0,1
15000,29,0,1,1,1,0,1,5,6,1,1,1,0,0,0,0,1
15000,23,1,1,1,1,0,1,5,1,0,0,1,0,1,0,0,1
15000,23,1,1,1,1,0,1,4.3,66.5,0,1,1,0,0,0,0,1
15000,28,1,1,1,1,0,1,4.4,14925,1,0,1,1,0,0,0,1
15000,26,1,1,1,1,0,0,4.2,60,1,0,1,1,1,0,0,1
15000,28,0,1,1,1,0,1,4.3,66.5,1,1,0,1,0,0,0,1
15000,24,0,1,1,1,0,1,4,3,0,1,1,0,1,0,0,1
15000,23,0,1,1,1,0,1,5,2,1,0,0,1,1,0,0,1
15000,20,1,1,1,1,0,1,4.1,254,0,1,0,0,1,0,0,1
15000,30,1,1,1,1,0,0,4.2,85,0,1,0,1,1,0,0,1
15000,22,1,1,1,1,0,0,4.2,85,1,1,1,0,0,0,0,1
15000,28,0,1,1,1,0,1,5,3,1,1,1,0,0,0,0,1
15000,25,0,1,1,1,0,0,4.3,66.5,0,1,0,1,1,0,0,1
15000,21,1,1,1,1,0,1,4.5,36,1,1,1,0,1,0,0,1
15000,27,0,1,1,1,0,0,3.7,365,1,0,1,1,0,0,0,1
15000,25,1,1,1,1,0,0,4.3,66.5,0,1,0,1,1,0,0,1
15000,27,1,1,1,1,0,0,4.2,85,0,0,0,1,1,0,0,1
15000,20,0,1,1,1,0,0,4.3,66.5,1,0,1,1,0,0,0,1
15000,26,0,1,1,1,0,1,4.6,16,0,0,1,1,1,0,0,1
